id,entityType,name,clinicName,vetName,address,city,province,phone,website,lat,lng,services,species,specialties,sourceType,sourceUrl,sourceCollectedAt,lastVerifiedAt,profileStatus,verificationStatus,onlineBookingStatus,isPublished,marketingConsent,outreachStatus,internalNotes,rawLabel
dir_0731ca2fcc8bd02b,clinic,Ambulatorio Veterinario Vandone Dr.sSmonetta dDmiani dD. aMiagrazia,Ambulatorio Veterinario Vandone Dr.sSmonetta dDmiani dD. aMiagrazia,,,,,,,45.32486,8.41718,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Vandone Dr.sSmonetta dDmiani dD. aMiagrazia
dir_02bee4b0482d5e15,clinic,Clinica Veterinaria Ca'cCmarina,Clinica Veterinaria Ca'cCmarina,,,,,,,46.15305,9.82185,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria Ca'cCmarina
dir_87eb282a7c8a34cb,clinic,Ambulatorio Veterinario 24 Ore,Ambulatorio Veterinario 24 Ore,,,,,,,45.82805,9.04654,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario 24 Ore
dir_b7c363a0e58c3d38,clinic,Ambulatorio Medico Veterinario Dr.pPacentini --rD mgMiavacca,Ambulatorio Medico Veterinario Dr.pPacentini --rD mgMiavacca,,,,,,,45.19176,9.17157,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Medico Veterinario Dr.pPacentini --rD mgMiavacca
dir_c47d0f001a92ba5b,clinic,Clinica Veterinaria Tergeste -sSde dD mMggia,Clinica Veterinaria Tergeste -sSde dD mMggia,,,,,,,45.60282,13.76682,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria Tergeste -sSde dD mMggia
dir_8c728e4419e0fb95,clinic,Ambulatorio Veterinario Dott.aAdriani lLca,Ambulatorio Veterinario Dott.aAdriani lLca,,,,,,,40.12554,18.29646,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dott.aAdriani lLca
dir_5f7e5cfee547f209,clinic,Ambulatorio Veterinario Dr.Ssa Daniela Bistolfi,Ambulatorio Veterinario Dr.Ssa Daniela Bistolfi,,,,,,,45.53112,9.23405,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.Ssa Daniela Bistolfi
dir_4167dad0100d8235,clinic,Ambulatorio Veterinario Labaro,Ambulatorio Veterinario Labaro,,,,,,,41.99271,12.49162,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Labaro
dir_82ba049d73b3bb8a,clinic,Ambulatorio Veterinario San Marziale,Ambulatorio Veterinario San Marziale,,,,,,,43.40309,11.13493,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario San Marziale
dir_4af7c9e3ab905aa0,clinic,Ambulatorio Veterinario Fanini,Ambulatorio Veterinario Fanini,,,,,,,45.38030,11.04882,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Fanini
dir_97c7c8c2b976de7c,clinic,Ambulatorio Veterinario Dr Alfredo Sacchi,Ambulatorio Veterinario Dr Alfredo Sacchi,,,,,,,45.42005,9.07058,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr Alfredo Sacchi
dir_7a05a5b1ffb6873d,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,45.36238,9.32519,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_ac5a405fdceea726,clinic,Ambulatorio Veterinario San Giacomo,Ambulatorio Veterinario San Giacomo,,,,,,,44.86091,11.05761,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario San Giacomo
